panel_gamma,unique_edge_index,size,vertices
2.0,0,3,0 13 36
2.0,1,5,19 20 51 73 96
2.0,2,5,2 27 42 43 58
2.0,3,4,17 37 54 78
2.0,4,5,2 27 58 81 93
2.0,5,2,86 90
2.0,6,5,7 17 54 78 86
2.0,7,3,57 70 98
2.0,8,4,27 28 64 69
2.0,9,2,9 35
2.0,10,5,3 33 49 77 85
2.0,11,4,30 52 66 91
2.0,12,5,25 46 59 75 89
2.0,13,2,64 74
2.0,14,5,4 55 63 76 87
2.0,15,2,17 49
2.0,16,5,18 29 68 84 97
2.0,17,5,10 39 40 61 99
2.0,18,2,75 89
2.0,19,4,3 41 67 77
2.0,20,2,7 86
2.0,21,5,24 57 70 76 98
2.0,22,2,19 20
2.0,23,2,4 87
2.0,24,4,10 45 61 99
2.0,25,4,55 57 76 98
2.0,26,3,10 39 40
2.0,27,5,26 37 44 71 83
2.0,28,2,48 60
2.0,29,4,25 59 62 75
2.0,30,2,6 62
2.0,31,4,14 16 51 73
2.0,32,3,9 35 47
2.0,33,3,11 32 56
2.0,34,4,4 63 83 87
2.0,35,2,31 90
2.0,36,2,8 15
2.0,37,2,57 60
2.0,38,2,29 97
2.0,39,5,6 25 59 62 92
2.0,40,5,30 34 52 66 91
2.0,41,3,52 66 68
2.0,42,2,14 88
2.0,43,3,21 72 96
2.0,44,2,3 33
2.0,45,4,21 38 80 94
2.0,46,3,18 29 68
2.0,47,4,21 38 45 80
2.0,48,3,25 59 62
2.0,49,4,5 34 43 91
2.0,50,5,31 62 65 74 92
2.0,51,2,39 40
2.0,52,2,40 94
2.0,53,2,77 89
2.0,54,3,74 81 92
2.0,55,3,7 54 78
2.0,56,3,41 67 77
2.0,57,4,2 42 43 58
2.0,58,3,57 76 98
2.0,59,5,27 28 42 64 69
2.0,60,3,14 16 88
2.0,61,2,26 37
2.0,62,3,6 62 92
2.0,63,5,5 15 30 69 91
2.0,64,2,24 36
2.0,65,5,1 16 34 50 66
2.0,66,5,2 23 58 81 93
2.0,67,3,34 50 66
2.0,68,3,12 32 99
2.0,69,2,18 29
2.0,70,4,31 64 74 90
2.0,71,4,2 27 81 93
2.0,72,4,36 53 72 96
2.0,73,5,22 55 60 63 87
2.0,74,4,0 13 24 36
2.0,75,4,19 20 72 96
2.0,76,3,70 76 98
2.0,77,2,9 47
2.0,78,5,7 17 37 54 78
2.0,79,4,3 33 67 77
2.0,80,3,33 49 85
2.0,81,5,21 38 53 72 80
2.0,82,4,12 32 61 99
2.0,83,5,36 51 72 73 96
2.0,84,2,53 94
2.0,85,4,21 38 53 80
4.0,0,3,43 44 56
4.0,1,5,35 36 37 39 46
4.0,2,3,3 14 61
4.0,3,3,18 25 33
4.0,4,4,58 70 83 94
4.0,5,3,34 45 93
4.0,6,2,71 73
4.0,7,2,10 72
4.0,8,4,25 27 69 75
4.0,9,5,15 29 41 49 81
4.0,10,2,10 16
4.0,11,2,3 50
4.0,12,5,25 27 33 69 75
4.0,13,2,39 46
4.0,14,3,34 43 45
4.0,15,4,14 24 66 74
4.0,16,4,5 38 42 79
4.0,17,4,1 54 57 62
4.0,18,2,63 96
4.0,19,3,70 83 94
4.0,20,2,67 80
4.0,21,2,27 76
4.0,22,5,23 43 51 56 62
4.0,23,3,26 31 46
4.0,24,3,26 31 77
4.0,25,4,59 70 83 94
4.0,26,2,31 99
4.0,27,5,26 31 58 77 99
4.0,28,3,58 70 94
4.0,29,2,52 93
4.0,30,3,40 86 95
4.0,31,5,11 40 60 84 89
4.0,32,2,5 79
4.0,33,3,4 6 73
4.0,34,5,11 60 84 89 90
4.0,35,2,85 92
4.0,36,4,15 41 81 90
4.0,37,2,28 58
4.0,38,2,83 85
4.0,39,2,4 6
4.0,40,5,34 43 44 45 56
4.0,41,4,1 5 38 79
4.0,42,3,22 47 68
4.0,43,3,42 86 95
4.0,44,2,34 45
4.0,45,2,19 32
4.0,46,3,3 10 16
4.0,47,4,26 70 77 94
4.0,48,2,59 97
4.0,49,3,1 5 79
4.0,50,2,18 25
4.0,51,2,20 48
4.0,52,2,0 64
4.0,53,3,9 52 82
4.0,54,2,43 56
4.0,55,4,9 30 52 82
4.0,56,4,4 6 37 39
4.0,57,2,8 78
4.0,58,2,65 91
4.0,59,3,18 25 69
4.0,60,2,37 39
4.0,61,3,72 84 90
4.0,62,4,26 31 77 99
4.0,63,5,9 30 52 82 93
4.0,64,2,48 50
4.0,65,2,16 61
4.0,66,2,63 91
4.0,67,4,7 48 72 84
4.0,68,4,26 77 88 94
4.0,69,3,20 48 50
4.0,70,4,29 59 88 97
4.0,71,5,7 20 40 87 89
4.0,72,5,44 51 55 56 62
4.0,73,5,1 54 57 79 98
4.0,74,3,4 8 73
4.0,75,2,47 68
4.0,76,2,21 53
4.0,77,2,17 53
4.0,78,5,28 58 70 94 99
4.0,79,2,14 61
4.0,80,5,35 36 46 88 97
4.0,81,5,26 31 58 77 94
4.0,82,3,38 86 95
4.0,83,5,18 25 33 69 75
4.0,84,4,17 53 95 98
4.0,85,2,23 47
4.0,86,4,17 22 68 98
4.0,87,2,41 81
4.0,88,5,35 36 37 39 74
4.0,89,4,4 6 71 73
4.0,90,5,18 33 69 75 99
4.0,91,2,24 74
