gamma,trial,size,unique_count,unique_proportion,retained_attempts,unique_edges
1.5,0,2,200,0.23696682464454977,1124,844
1.5,0,3,231,0.273696682464455,1124,844
1.5,0,4,177,0.20971563981042654,1124,844
1.5,0,5,236,0.2796208530805687,1124,844
1.5,1,2,205,0.246690734055355,1089,831
1.5,1,3,205,0.246690734055355,1089,831
1.5,1,4,174,0.20938628158844766,1089,831
1.5,1,5,247,0.2972322503008424,1089,831
1.5,2,2,204,0.24969400244798043,1081,817
1.5,2,3,195,0.2386780905752754,1081,817
1.5,2,4,161,0.19706242350061198,1081,817
1.5,2,5,257,0.31456548347613217,1081,817
1.5,3,2,222,0.2677925211097708,1089,829
1.5,3,3,202,0.2436670687575392,1089,829
1.5,3,4,171,0.20627261761158022,1089,829
1.5,3,5,234,0.2822677925211098,1089,829
1.5,4,2,216,0.2650306748466258,1106,815
1.5,4,3,206,0.252760736196319,1106,815
1.5,4,4,167,0.2049079754601227,1106,815
1.5,4,5,226,0.2773006134969325,1106,815
1.5,5,2,219,0.26353790613718414,1127,831
1.5,5,3,209,0.25150421179302046,1127,831
1.5,5,4,169,0.20336943441636582,1127,831
1.5,5,5,234,0.2815884476534296,1127,831
1.5,6,2,196,0.23642943305186973,1117,829
1.5,6,3,215,0.25934861278648974,1117,829
1.5,6,4,178,0.2147165259348613,1117,829
1.5,6,5,240,0.28950542822677927,1117,829
1.5,7,2,215,0.2529411764705882,1133,850
1.5,7,3,221,0.26,1133,850
1.5,7,4,172,0.2023529411764706,1133,850
1.5,7,5,242,0.2847058823529412,1133,850
1.5,8,2,222,0.2642857142857143,1100,840
1.5,8,3,219,0.26071428571428573,1100,840
1.5,8,4,166,0.1976190476190476,1100,840
1.5,8,5,233,0.2773809523809524,1100,840
1.5,9,2,211,0.2450638792102207,1146,861
1.5,9,3,232,0.2694541231126597,1146,861
1.5,9,4,172,0.1997677119628339,1146,861
1.5,9,5,246,0.2857142857142857,1146,861
