gamma,rho,trial,mean_hypergraph_vertex_degree,attempt_level_reference,unique_fraction_attempts,unique_fraction_retained
1.5,0.5,0,1.166,1.2708653623884316,0.672,0.9333333333333333
1.5,0.5,1,1.126,1.2708653623884316,0.668,0.943502824858757
1.5,0.5,2,1.258,1.2708653623884316,0.736,0.934010152284264
1.5,0.5,3,1.354,1.2708653623884316,0.768,0.96
1.5,0.5,4,1.196,1.2708653623884316,0.716,0.9572192513368984
1.5,0.5,5,1.218,1.2708653623884316,0.684,0.9715909090909091
1.5,0.5,6,1.272,1.2708653623884316,0.72,0.9424083769633508
1.5,0.5,7,1.192,1.2708653623884316,0.7,0.9459459459459459
1.5,0.5,8,1.214,1.2708653623884316,0.704,0.9565217391304348
1.5,0.5,9,1.086,1.2708653623884316,0.628,0.9573170731707317
1.5,0.5,10,1.27,1.2708653623884316,0.732,0.9581151832460733
1.5,0.5,11,1.17,1.2708653623884316,0.684,0.95
1.5,0.5,12,1.206,1.2708653623884316,0.716,0.9521276595744681
1.5,0.5,13,1.102,1.2708653623884316,0.636,0.9190751445086706
1.5,0.5,14,1.158,1.2708653623884316,0.672,0.9230769230769231
1.5,0.5,15,1.34,1.2708653623884316,0.744,0.96875
1.5,0.5,16,1.136,1.2708653623884316,0.676,0.9441340782122905
1.5,0.5,17,1.202,1.2708653623884316,0.696,0.9560439560439561
1.5,0.5,18,1.268,1.2708653623884316,0.74,0.9536082474226805
1.5,0.5,19,1.152,1.2708653623884316,0.672,0.9333333333333333
1.5,0.5,20,1.226,1.2708653623884316,0.712,0.956989247311828
1.5,0.5,21,1.204,1.2708653623884316,0.7,0.9459459459459459
1.5,0.5,22,1.336,1.2708653623884316,0.748,0.9790575916230366
1.5,0.5,23,1.244,1.2708653623884316,0.732,0.9384615384615385
1.5,0.5,24,1.272,1.2708653623884316,0.74,0.9585492227979274
1.5,0.5,25,1.184,1.2708653623884316,0.68,0.918918918918919
1.5,0.5,26,1.258,1.2708653623884316,0.736,0.9484536082474226
1.5,0.5,27,1.204,1.2708653623884316,0.684,0.9553072625698324
1.5,0.5,28,1.186,1.2708653623884316,0.704,0.9312169312169312
1.5,0.5,29,1.228,1.2708653623884316,0.7,0.9358288770053476
1.5,1.0,0,2.346,2.5417307247768632,0.682,0.9216216216216216
1.5,1.0,1,2.382,2.5417307247768632,0.66,0.9041095890410958
1.5,1.0,2,2.43,2.5417307247768632,0.698,0.8925831202046036
1.5,1.0,3,2.294,2.5417307247768632,0.676,0.9184782608695652
1.5,1.0,4,2.29,2.5417307247768632,0.648,0.8950276243093923
1.5,1.0,5,2.36,2.5417307247768632,0.68,0.8740359897172236
1.5,1.0,6,2.238,2.5417307247768632,0.658,0.9138888888888889
1.5,1.0,7,2.42,2.5417307247768632,0.7,0.9020618556701031
1.5,1.0,8,2.2,2.5417307247768632,0.656,0.8840970350404312
1.5,1.0,9,2.174,2.5417307247768632,0.634,0.8854748603351955
1.5,1.0,10,2.206,2.5417307247768632,0.654,0.8958904109589041
1.5,1.0,11,2.21,2.5417307247768632,0.644,0.875
1.5,1.0,12,2.3,2.5417307247768632,0.668,0.915068493150685
1.5,1.0,13,2.276,2.5417307247768632,0.67,0.8862433862433863
1.5,1.0,14,2.436,2.5417307247768632,0.682,0.8973684210526316
1.5,1.0,15,2.4,2.5417307247768632,0.686,0.9026315789473685
1.5,1.0,16,2.202,2.5417307247768632,0.636,0.8983050847457628
1.5,1.0,17,2.372,2.5417307247768632,0.698,0.9184210526315789
1.5,1.0,18,2.338,2.5417307247768632,0.646,0.8682795698924731
1.5,1.0,19,2.154,2.5417307247768632,0.63,0.9051724137931034
1.5,1.0,20,2.278,2.5417307247768632,0.67,0.9153005464480874
1.5,1.0,21,2.204,2.5417307247768632,0.65,0.9103641456582633
1.5,1.0,22,2.252,2.5417307247768632,0.668,0.9002695417789758
1.5,1.0,23,2.214,2.5417307247768632,0.64,0.8767123287671232
1.5,1.0,24,2.43,2.5417307247768632,0.68,0.9066666666666666
1.5,1.0,25,2.308,2.5417307247768632,0.664,0.9196675900277008
1.5,1.0,26,2.388,2.5417307247768632,0.688,0.9148936170212766
1.5,1.0,27,2.238,2.5417307247768632,0.656,0.8888888888888888
1.5,1.0,28,2.314,2.5417307247768632,0.672,0.8865435356200527
1.5,1.0,29,2.184,2.5417307247768632,0.646,0.8706199460916442
1.5,1.5,0,3.324,3.8125960871652946,0.6213333333333333,0.8597785977859779
1.5,1.5,1,3.272,3.8125960871652946,0.6173333333333333,0.843351548269581
1.5,1.5,2,3.228,3.8125960871652946,0.6053333333333333,0.851782363977486
1.5,1.5,3,3.452,3.8125960871652946,0.66,0.8638743455497382
1.5,1.5,4,3.268,3.8125960871652946,0.636,0.8610108303249098
1.5,1.5,5,3.24,3.8125960871652946,0.6293333333333333,0.8613138686131386
1.5,1.5,6,3.352,3.8125960871652946,0.6546666666666666,0.8659611992945326
1.5,1.5,7,3.196,3.8125960871652946,0.6053333333333333,0.8239564428312159
1.5,1.5,8,3.236,3.8125960871652946,0.6186666666666667,0.8421052631578947
1.5,1.5,9,3.224,3.8125960871652946,0.6213333333333333,0.8534798534798534
1.5,1.5,10,3.306,3.8125960871652946,0.644,0.8313253012048193
1.5,1.5,11,3.344,3.8125960871652946,0.6413333333333333,0.8651079136690647
1.5,1.5,12,3.234,3.8125960871652946,0.6226666666666667,0.8324420677361853
1.5,1.5,13,3.268,3.8125960871652946,0.6373333333333333,0.8628158844765343
1.5,1.5,14,3.322,3.8125960871652946,0.6253333333333333,0.8345195729537367
1.5,1.5,15,3.46,3.8125960871652946,0.656,0.8770053475935828
1.5,1.5,16,3.234,3.8125960871652946,0.6266666666666667,0.8608058608058609
1.5,1.5,17,3.274,3.8125960871652946,0.6226666666666667,0.8521897810218978
1.5,1.5,18,3.138,3.8125960871652946,0.6026666666666667,0.8293577981651377
1.5,1.5,19,3.408,3.8125960871652946,0.6373333333333333,0.8460176991150442
1.5,1.5,20,3.266,3.8125960871652946,0.6293333333333333,0.8151986183074266
1.5,1.5,21,3.168,3.8125960871652946,0.6093333333333333,0.8478664192949907
1.5,1.5,22,3.052,3.8125960871652946,0.6093333333333333,0.851024208566108
1.5,1.5,23,3.306,3.8125960871652946,0.632,0.8200692041522492
1.5,1.5,24,3.286,3.8125960871652946,0.6346666666666667,0.8576576576576577
1.5,1.5,25,3.334,3.8125960871652946,0.632,0.8540540540540541
1.5,1.5,26,3.292,3.8125960871652946,0.628,0.8594890510948905
1.5,1.5,27,3.204,3.8125960871652946,0.6333333333333333,0.8652094717668488
1.5,1.5,28,3.428,3.8125960871652946,0.6613333333333333,0.852233676975945
1.5,1.5,29,3.112,3.8125960871652946,0.6106666666666667,0.8528864059590316
1.5,2.0,0,4.342,5.0834614495537265,0.626,0.8151041666666666
1.5,2.0,1,4.416,5.0834614495537265,0.613,0.8250336473755047
1.5,2.0,2,4.276,5.0834614495537265,0.613,0.8294993234100135
1.5,2.0,3,4.324,5.0834614495537265,0.615,0.82
1.5,2.0,4,4.144,5.0834614495537265,0.592,0.8131868131868132
1.5,2.0,5,4.284,5.0834614495537265,0.611,0.832425068119891
1.5,2.0,6,4.316,5.0834614495537265,0.606,0.8244897959183674
1.5,2.0,7,4.262,5.0834614495537265,0.602,0.8337950138504155
1.5,2.0,8,4.122,5.0834614495537265,0.585,0.8136300417246175
1.5,2.0,9,4.044,5.0834614495537265,0.573,0.8185714285714286
1.5,2.0,10,4.292,5.0834614495537265,0.618,0.8273092369477911
1.5,2.0,11,4.1,5.0834614495537265,0.592,0.8087431693989071
1.5,2.0,12,4.216,5.0834614495537265,0.598,0.8081081081081081
1.5,2.0,13,4.314,5.0834614495537265,0.619,0.7925736235595391
1.5,2.0,14,4.41,5.0834614495537265,0.638,0.8221649484536082
1.5,2.0,15,4.082,5.0834614495537265,0.575,0.7833787465940054
1.5,2.0,16,4.172,5.0834614495537265,0.598,0.8048452220726783
1.5,2.0,17,4.296,5.0834614495537265,0.615,0.8134920634920635
1.5,2.0,18,4.214,5.0834614495537265,0.615,0.8266129032258065
1.5,2.0,19,4.29,5.0834614495537265,0.591,0.8106995884773662
1.5,2.0,20,4.236,5.0834614495537265,0.611,0.8234501347708895
1.5,2.0,21,4.31,5.0834614495537265,0.602,0.8124156545209177
1.5,2.0,22,4.298,5.0834614495537265,0.613,0.8283783783783784
1.5,2.0,23,4.296,5.0834614495537265,0.602,0.8246575342465754
1.5,2.0,24,4.216,5.0834614495537265,0.612,0.7979139504563233
1.5,2.0,25,4.04,5.0834614495537265,0.584,0.8111111111111111
1.5,2.0,26,4.238,5.0834614495537265,0.604,0.8240109140518418
1.5,2.0,27,4.176,5.0834614495537265,0.593,0.8068027210884354
1.5,2.0,28,4.096,5.0834614495537265,0.602,0.8026666666666666
1.5,2.0,29,4.168,5.0834614495537265,0.599,0.813858695652174
1.5,2.5,0,5.142,6.354326811942158,0.5824,0.8053097345132744
1.5,2.5,1,5.122,6.354326811942158,0.5832,0.7847147470398278
1.5,2.5,2,5.288,6.354326811942158,0.5984,0.8043010752688172
1.5,2.5,3,5.302,6.354326811942158,0.5984,0.7948990435706695
1.5,2.5,4,4.856,6.354326811942158,0.5576,0.7526997840172787
1.5,2.5,5,5.124,6.354326811942158,0.5832,0.7830290010741139
1.5,2.5,6,5.078,6.354326811942158,0.58,0.7607555089192025
1.5,2.5,7,4.91,6.354326811942158,0.5584,0.7746947835738068
1.5,2.5,8,5.092,6.354326811942158,0.5832,0.7730646871686108
1.5,2.5,9,5.096,6.354326811942158,0.5832,0.7738853503184714
1.5,2.5,10,4.734,6.354326811942158,0.5464,0.7489035087719298
1.5,2.5,11,5.064,6.354326811942158,0.5768,0.7803030303030303
1.5,2.5,12,5.304,6.354326811942158,0.6016,0.8
1.5,2.5,13,5.22,6.354326811942158,0.5776,0.7796976241900648
1.5,2.5,14,4.932,6.354326811942158,0.5664,0.7695652173913043
1.5,2.5,15,4.97,6.354326811942158,0.5584,0.7790178571428571
1.5,2.5,16,5.028,6.354326811942158,0.5672,0.7816979051819184
1.5,2.5,17,4.936,6.354326811942158,0.5664,0.7629310344827587
1.5,2.5,18,5.132,6.354326811942158,0.5808,0.7731629392971247
1.5,2.5,19,5.118,6.354326811942158,0.576,0.7964601769911505
1.5,2.5,20,5.146,6.354326811942158,0.5952,0.799140708915145
1.5,2.5,21,5.022,6.354326811942158,0.5744,0.7712137486573577
1.5,2.5,22,5.344,6.354326811942158,0.6072,0.8031746031746032
1.5,2.5,23,5.168,6.354326811942158,0.5856,0.7795527156549521
1.5,2.5,24,4.962,6.354326811942158,0.564,0.7588805166846071
1.5,2.5,25,5.29,6.354326811942158,0.6,0.8047210300429185
1.5,2.5,26,5.104,6.354326811942158,0.5824,0.7736450584484591
1.5,2.5,27,5.226,6.354326811942158,0.6024,0.789308176100629
1.5,2.5,28,5.042,6.354326811942158,0.5752,0.7849344978165939
1.5,2.5,29,5.26,6.354326811942158,0.6056,0.79768177028451
1.5,3.0,0,6.01,7.625192174330589,0.5666666666666667,0.7542147293700089
1.5,3.0,1,6.106,7.625192174330589,0.588,0.7564322469982847
1.5,3.0,2,5.588,7.625192174330589,0.526,0.7292051756007394
1.5,3.0,3,5.928,7.625192174330589,0.56,0.7413945278022948
1.5,3.0,4,5.652,7.625192174330589,0.538,0.7276825969341749
1.5,3.0,5,5.792,7.625192174330589,0.5453333333333333,0.7238938053097345
1.5,3.0,6,5.826,7.625192174330589,0.546,0.761860465116279
1.5,3.0,7,5.978,7.625192174330589,0.5693333333333334,0.7564216120460585
1.5,3.0,8,5.82,7.625192174330589,0.558,0.7664835164835165
1.5,3.0,9,6.156,7.625192174330589,0.582,0.7766903914590747
1.5,3.0,10,5.752,7.625192174330589,0.548,0.7255075022065314
1.5,3.0,11,5.902,7.625192174330589,0.5573333333333333,0.7551942186088527
1.5,3.0,12,5.99,7.625192174330589,0.5653333333333334,0.7564674397859055
1.5,3.0,13,5.936,7.625192174330589,0.564,0.7607913669064749
1.5,3.0,14,6.0,7.625192174330589,0.5626666666666666,0.7728937728937729
1.5,3.0,15,6.06,7.625192174330589,0.576,0.7585601404741001
1.5,3.0,16,6.128,7.625192174330589,0.574,0.7735849056603774
1.5,3.0,17,5.768,7.625192174330589,0.542,0.754874651810585
1.5,3.0,18,6.066,7.625192174330589,0.576,0.7578947368421053
1.5,3.0,19,5.708,7.625192174330589,0.536,0.7493010251630942
1.5,3.0,20,6.028,7.625192174330589,0.5733333333333334,0.7610619469026548
1.5,3.0,21,5.904,7.625192174330589,0.566,0.7480176211453744
1.5,3.0,22,5.914,7.625192174330589,0.5533333333333333,0.7635694572217111
1.5,3.0,23,6.082,7.625192174330589,0.5733333333333334,0.7484769364664926
1.5,3.0,24,5.774,7.625192174330589,0.5486666666666666,0.7481818181818182
1.5,3.0,25,5.832,7.625192174330589,0.5613333333333334,0.745792736935341
1.5,3.0,26,5.896,7.625192174330589,0.5606666666666666,0.756975697569757
1.5,3.0,27,6.002,7.625192174330589,0.568,0.7460595446584939
1.5,3.0,28,5.84,7.625192174330589,0.5653333333333334,0.7557932263814616
1.5,3.0,29,6.004,7.625192174330589,0.57,0.753968253968254
1.5,3.5,0,6.77,8.896057536719022,0.5445714285714286,0.7353395061728395
1.5,3.5,1,6.602,8.896057536719022,0.5445714285714286,0.7149287321830458
1.5,3.5,2,6.542,8.896057536719022,0.5274285714285715,0.7166149068322981
1.5,3.5,3,6.652,8.896057536719022,0.54,0.7342657342657343
1.5,3.5,4,6.552,8.896057536719022,0.5388571428571428,0.7127739984882842
1.5,3.5,5,6.738,8.896057536719022,0.5411428571428571,0.7234530175706646
1.5,3.5,6,6.574,8.896057536719022,0.5257142857142857,0.7093292212798766
1.5,3.5,7,6.394,8.896057536719022,0.516,0.7160983346550357
1.5,3.5,8,6.352,8.896057536719022,0.5274285714285715,0.7061973986228003
1.5,3.5,9,6.686,8.896057536719022,0.54,0.723583460949464
1.5,3.5,10,6.504,8.896057536719022,0.5274285714285715,0.7078220858895705
1.5,3.5,11,6.624,8.896057536719022,0.5411428571428571,0.7256704980842912
1.5,3.5,12,6.64,8.896057536719022,0.5405714285714286,0.7305019305019305
1.5,3.5,13,6.21,8.896057536719022,0.504,0.7176566314076485
1.5,3.5,14,6.786,8.896057536719022,0.5537142857142857,0.7523291925465838
1.5,3.5,15,6.884,8.896057536719022,0.5628571428571428,0.7433962264150943
1.5,3.5,16,6.638,8.896057536719022,0.5411428571428571,0.7324052590873936
1.5,3.5,17,6.77,8.896057536719022,0.5457142857142857,0.7256838905775076
1.5,3.5,18,6.356,8.896057536719022,0.512,0.6994535519125683
1.5,3.5,19,6.554,8.896057536719022,0.524,0.7016067329762815
1.5,3.5,20,6.504,8.896057536719022,0.5371428571428571,0.7292474786656322
1.5,3.5,21,6.51,8.896057536719022,0.5314285714285715,0.7142857142857143
1.5,3.5,22,6.382,8.896057536719022,0.5228571428571429,0.7233201581027668
1.5,3.5,23,6.538,8.896057536719022,0.52,0.7137254901960784
