panel,group,rho,trial,connected
gamma,1.5,0.5,0,0
gamma,1.5,1.0,0,0
gamma,1.5,1.5,0,0
gamma,1.5,2.0,0,0
gamma,1.5,2.5,0,0
gamma,1.5,3.0,0,0
gamma,1.5,3.5,0,0
gamma,1.5,4.0,0,1
gamma,1.5,4.5,0,1
gamma,1.5,5.0,0,1
gamma,1.5,0.5,1,0
gamma,1.5,1.0,1,0
gamma,1.5,1.5,1,0
gamma,1.5,2.0,1,0
gamma,1.5,2.5,1,0
gamma,1.5,3.0,1,1
gamma,1.5,3.5,1,1
gamma,1.5,4.0,1,1
gamma,1.5,4.5,1,1
gamma,1.5,5.0,1,1
gamma,1.5,0.5,2,0
gamma,1.5,1.0,2,0
gamma,1.5,1.5,2,0
gamma,1.5,2.0,2,0
gamma,1.5,2.5,2,0
gamma,1.5,3.0,2,1
gamma,1.5,3.5,2,1
gamma,1.5,4.0,2,1
gamma,1.5,4.5,2,1
gamma,1.5,5.0,2,1
gamma,1.5,0.5,3,0
gamma,1.5,1.0,3,0
gamma,1.5,1.5,3,0
gamma,1.5,2.0,3,0
gamma,1.5,2.5,3,1
gamma,1.5,3.0,3,1
gamma,1.5,3.5,3,1
gamma,1.5,4.0,3,1
gamma,1.5,4.5,3,1
gamma,1.5,5.0,3,1
gamma,1.5,0.5,4,0
gamma,1.5,1.0,4,0
gamma,1.5,1.5,4,0
gamma,1.5,2.0,4,0
gamma,1.5,2.5,4,0
gamma,1.5,3.0,4,1
gamma,1.5,3.5,4,1
gamma,1.5,4.0,4,1
gamma,1.5,4.5,4,1
gamma,1.5,5.0,4,1
gamma,1.5,0.5,5,0
gamma,1.5,1.0,5,0
gamma,1.5,1.5,5,0
gamma,1.5,2.0,5,0
gamma,1.5,2.5,5,0
gamma,1.5,3.0,5,1
gamma,1.5,3.5,5,1
gamma,1.5,4.0,5,1
gamma,1.5,4.5,5,1
gamma,1.5,5.0,5,1
gamma,1.5,0.5,6,0
gamma,1.5,1.0,6,0
gamma,1.5,1.5,6,0
gamma,1.5,2.0,6,0
gamma,1.5,2.5,6,0
gamma,1.5,3.0,6,1
gamma,1.5,3.5,6,1
gamma,1.5,4.0,6,1
gamma,1.5,4.5,6,1
gamma,1.5,5.0,6,1
gamma,1.5,0.5,7,0
gamma,1.5,1.0,7,0
gamma,1.5,1.5,7,0
gamma,1.5,2.0,7,0
gamma,1.5,2.5,7,0
gamma,1.5,3.0,7,1
gamma,1.5,3.5,7,1
gamma,1.5,4.0,7,1
gamma,1.5,4.5,7,1
gamma,1.5,5.0,7,1
gamma,1.5,0.5,8,0
gamma,1.5,1.0,8,0
gamma,1.5,1.5,8,0
gamma,1.5,2.0,8,0
gamma,1.5,2.5,8,1
gamma,1.5,3.0,8,1
gamma,1.5,3.5,8,1
gamma,1.5,4.0,8,1
gamma,1.5,4.5,8,1
gamma,1.5,5.0,8,1
gamma,1.5,0.5,9,0
gamma,1.5,1.0,9,0
gamma,1.5,1.5,9,0
gamma,1.5,2.0,9,0
gamma,1.5,2.5,9,0
gamma,1.5,3.0,9,1
gamma,1.5,3.5,9,1
gamma,1.5,4.0,9,1
gamma,1.5,4.5,9,1
gamma,1.5,5.0,9,1
gamma,1.5,0.5,10,0
gamma,1.5,1.0,10,0
gamma,1.5,1.5,10,0
gamma,1.5,2.0,10,0
gamma,1.5,2.5,10,1
gamma,1.5,3.0,10,1
gamma,1.5,3.5,10,1
gamma,1.5,4.0,10,1
gamma,1.5,4.5,10,1
gamma,1.5,5.0,10,1
gamma,1.5,0.5,11,0
gamma,1.5,1.0,11,0
gamma,1.5,1.5,11,0
gamma,1.5,2.0,11,0
gamma,1.5,2.5,11,0
gamma,1.5,3.0,11,1
gamma,1.5,3.5,11,1
gamma,1.5,4.0,11,1
gamma,1.5,4.5,11,1
gamma,1.5,5.0,11,1
gamma,1.5,0.5,12,0
