rho,trial,q,sat_seed,size_null_seed,checkpoint_swaps_per_edge,rewire_seed,stage_successful_swaps,stage_attempted_swaps,cumulative_successful_swaps,cumulative_attempted_swaps,stage_acceptance_rate,clustering,degree_sequence_sha256,size_sequence_sha256,sat_degree_sequence_sha256,sat_size_sequence_sha256
3.0,0,507,2614081774,3517429150,20,844487942,10140,10163,10140,10163,0.9977368887139624,0.21023652571188706,cbd4c433cfb4ee3ef222adb39913e84522c1fb9d1cff10da5b64d9700fcc2912,760c6ec3934c5adfbd185975d335e3a58c19d042b78627f20dcb86648c5204fd,cbd4c433cfb4ee3ef222adb39913e84522c1fb9d1cff10da5b64d9700fcc2912,760c6ec3934c5adfbd185975d335e3a58c19d042b78627f20dcb86648c5204fd
3.0,0,507,2614081774,3517429150,50,3327953377,15210,15245,25350,25408,0.9977041653000984,0.21475661962610051,cbd4c433cfb4ee3ef222adb39913e84522c1fb9d1cff10da5b64d9700fcc2912,760c6ec3934c5adfbd185975d335e3a58c19d042b78627f20dcb86648c5204fd,cbd4c433cfb4ee3ef222adb39913e84522c1fb9d1cff10da5b64d9700fcc2912,760c6ec3934c5adfbd185975d335e3a58c19d042b78627f20dcb86648c5204fd
3.0,0,507,2614081774,3517429150,100,76522087,25350,25423,50700,50831,0.9971285843527514,0.2102409195243141,cbd4c433cfb4ee3ef222adb39913e84522c1fb9d1cff10da5b64d9700fcc2912,760c6ec3934c5adfbd185975d335e3a58c19d042b78627f20dcb86648c5204fd,cbd4c433cfb4ee3ef222adb39913e84522c1fb9d1cff10da5b64d9700fcc2912,760c6ec3934c5adfbd185975d335e3a58c19d042b78627f20dcb86648c5204fd
3.0,0,507,2614081774,3517429150,200,2302557979,50700,50814,101400,101645,0.9977565237926556,0.2160402354259074,cbd4c433cfb4ee3ef222adb39913e84522c1fb9d1cff10da5b64d9700fcc2912,760c6ec3934c5adfbd185975d335e3a58c19d042b78627f20dcb86648c5204fd,cbd4c433cfb4ee3ef222adb39913e84522c1fb9d1cff10da5b64d9700fcc2912,760c6ec3934c5adfbd185975d335e3a58c19d042b78627f20dcb86648c5204fd
3.0,1,498,716465307,4004111967,20,3169600381,9960,9990,9960,9990,0.996996996996997,0.2195782300354596,78056d8d01ea7e97e9b5e5d0f2c7441e6ae1c2cf43b06edb6fa6cc98dd94496a,bdb3b244210469c21ab37f4f7a6a4c793f16556ba00be82ad7464e0e43ef0b68,78056d8d01ea7e97e9b5e5d0f2c7441e6ae1c2cf43b06edb6fa6cc98dd94496a,bdb3b244210469c21ab37f4f7a6a4c793f16556ba00be82ad7464e0e43ef0b68
3.0,1,498,716465307,4004111967,50,139529806,14940,14982,24900,24972,0.9971966359631558,0.22023317753848437,78056d8d01ea7e97e9b5e5d0f2c7441e6ae1c2cf43b06edb6fa6cc98dd94496a,bdb3b244210469c21ab37f4f7a6a4c793f16556ba00be82ad7464e0e43ef0b68,78056d8d01ea7e97e9b5e5d0f2c7441e6ae1c2cf43b06edb6fa6cc98dd94496a,bdb3b244210469c21ab37f4f7a6a4c793f16556ba00be82ad7464e0e43ef0b68
3.0,1,498,716465307,4004111967,100,2486861982,24900,24982,49800,49954,0.9967176366984228,0.21732945277048632,78056d8d01ea7e97e9b5e5d0f2c7441e6ae1c2cf43b06edb6fa6cc98dd94496a,bdb3b244210469c21ab37f4f7a6a4c793f16556ba00be82ad7464e0e43ef0b68,78056d8d01ea7e97e9b5e5d0f2c7441e6ae1c2cf43b06edb6fa6cc98dd94496a,bdb3b244210469c21ab37f4f7a6a4c793f16556ba00be82ad7464e0e43ef0b68
3.0,1,498,716465307,4004111967,200,4121331258,49800,49956,99600,99910,0.9968772519817439,0.21778529386287743,78056d8d01ea7e97e9b5e5d0f2c7441e6ae1c2cf43b06edb6fa6cc98dd94496a,bdb3b244210469c21ab37f4f7a6a4c793f16556ba00be82ad7464e0e43ef0b68,78056d8d01ea7e97e9b5e5d0f2c7441e6ae1c2cf43b06edb6fa6cc98dd94496a,bdb3b244210469c21ab37f4f7a6a4c793f16556ba00be82ad7464e0e43ef0b68
3.0,2,464,4148766413,1504734383,20,3021092666,9280,9307,9280,9307,0.9970989577737187,0.23754964679845836,6db1fb22304fada335bb13dd98b5c9c1dc9a1a2995fe41a9776dd5caa90d9137,76c7bd0666320ae30fd31f9d03464969ae2dffb12347fcba9705bc386321c9d9,6db1fb22304fada335bb13dd98b5c9c1dc9a1a2995fe41a9776dd5caa90d9137,76c7bd0666320ae30fd31f9d03464969ae2dffb12347fcba9705bc386321c9d9
3.0,2,464,4148766413,1504734383,50,2201399396,13920,13955,23200,23262,0.9974919383733429,0.2323549806738391,6db1fb22304fada335bb13dd98b5c9c1dc9a1a2995fe41a9776dd5caa90d9137,76c7bd0666320ae30fd31f9d03464969ae2dffb12347fcba9705bc386321c9d9,6db1fb22304fada335bb13dd98b5c9c1dc9a1a2995fe41a9776dd5caa90d9137,76c7bd0666320ae30fd31f9d03464969ae2dffb12347fcba9705bc386321c9d9
3.0,2,464,4148766413,1504734383,100,2297201771,23200,23262,46400,46524,0.9973347089674147,0.2321998436091599,6db1fb22304fada335bb13dd98b5c9c1dc9a1a2995fe41a9776dd5caa90d9137,76c7bd0666320ae30fd31f9d03464969ae2dffb12347fcba9705bc386321c9d9,6db1fb22304fada335bb13dd98b5c9c1dc9a1a2995fe41a9776dd5caa90d9137,76c7bd0666320ae30fd31f9d03464969ae2dffb12347fcba9705bc386321c9d9
